language|level|text
karay-a|2|Si Avanti ang manugtatap kang Pitara Zoo. Bear ang ana nga paborito. Si Ballu bahul, may kolor nga kaki, kag mapurus nga bear. Sa ikaapat nga tuig ni Ballu, nagpreparar si Avanti ka gamay nga handa. "Ballu, masarangan mo bala huypan kang dururungan ang mga kandila?" pamangkot ni Avanti. "Ako pa!" hambal ni Ballu. Naghaklu si Ballu kang duro nga hangin kag dayon mabaskug nga naghuyup. WHOOOOSH! Ang mabaskug nga hangin nagpatay sa mga kandila. Nagsaka dya kag nagbunggo sa mga gal-um. Hinali lang nagpanaguub kag nagbubo ang uran. "Nagauran kang isda!" singgit ni Avanti. Nagtingala si Ballu. Nagbuul tana ka bahul nga isdanga nahulog halin sa langit. Kada mabuta ang basket, ginabubo na balik sa gamay nga punung kag magpanipon liwat. Sa ikapulo na nga pagbalik sa gamay nga punung, natalupangdan na nga nagataas ang tubig kag nakita na nga si Avanti ginakulbaan. Ginbalikan ni Ballu si Avanti kag gintibung. Nangyabut si Avanti sa liug ni Ballu kag nagpasalamat. Wara naglawid nadura ang gal-um kag liwat nagsirak ang adlaw. Nanumbalik ang kasanag sa palibot. "Indi run ako magpahuyup kang kandila kanimo," hambal ni Avanti. "Wanhaw?" pamangkot ni Ballu. "Indi natun maman-an basi sa sunod pangka run ang mag-uran!" sabat ni Avanti kag nagkadlaw sanda nga
karay-a|2|Si Sisa may manang nga ang ana ngaran Sitang. Palangga ni Sisa ang ana manang. Si Samsam may manong nga ang ana ngaran Samyong. Palangga ni Samsam ang ana manong. Si Sandy may libayun nga bahi nga ang ana ngaran Sally. Palangga ni Sandy ang ana libayun nga bahi. Si Pipay mag libayun nga laki nga ang ana ngaran Pepe. Palangga ni Pipay ang ana libayun nga laki. Si Berto may tiya nga ang ana ngaran Mia. Palangga ni Berto ang ana tiya. Si Nene may tiyo nga ang ana ngaran Leo. Palangga ni Nene ang ana tiyo. Si Hasan may hinbalus nga bahi nga ang ana ngaran Rahi. Palangga ni Hasan ang ana hinablus nga bahi. Si Rosa may hinabulus nga laki ang ana ngaran Santi. Palangga ni Rosa ang ana hinbalus nga laki. Si Tiyo Celso may bata nga bahi nga ang ana ngaran Chelsy. Palangga ni Tiyo Celso ang ana bata nga bahi. Si Tiya Hiraya may bata nga laki nga ang ana ngaran Haki. Palangga ni Tiya Hiraya ang ana bata nga laki. Palangga namun ang amun mga himata. Palangga namun ang amun pamilya. Mga Pamangkut
karay-a|2|Ako si Rudi. Nagauli ako sa kuwadra. Nagaagto ang mga bata sa kuwadra para makamaan magsakay sa kabayo. Ugaring, wara gid nanda ako ginapili. ... tungud sa akun maraw-ay nga bungaybungay. Manami tana ang bungaybungay ka akun mga kaimaw. Nanari-sari nga mga shampoo run ang akun nagamit. Ginahusay ko man dya hasta nga magsiling. Bisan ano ang himuon ko, maraw-ay gihapon dya. Ang nagaagto nga mga bata, pirmi nanda ginapili ang akun mga kaimaw. Hasta nga sangka adlaw... "Amo dya ang gusto ko," hambal kang bata. "Nanamian ako ka ana mabuut nga mga mata." Daw indi ako magpati! Ginpili man ako! Malipayun kami nga naglibot-libot sa koral. Wara ko run ginakahuya kadya ang akun bungaybungay hay nanamian man sanda ka akun mga mata.
karay-a|2|May Sak Duro ang gusto ni Dina. Gusto ni Dina kang bisikleta. Gusto ni Dina magsakay sa bisikleta. Gusto ni Dina kang motorsiklo. Gusto ni Dina magsakay sa motorsiklo. Gusto ni Dina kang kotse. Gusto ni Dina mag-drive kang kotse. Gusto ni Dina kang bus. Gusto ni Dina mag-drive kang bus. Gusto ni Dina kang backhoe. Gusto ni Dina mag-drive kang backhoe. Gusto ni Dina kang jetski. Gusto ni Dina mag-drive kang jetski. Gusto ni Dina kang speed boat. Gusto ni Dina mag-drive kang speed boat. Gusto ni Dina kang barko. Gusto ni Dina mag-drive kang barko.
karay-a|2|Gusto ni Nonoy magsag-ub kang tubig. Kuon ka ana nga Tatay, "Sagapa rugto anay si Tito mo." Gusto ni Nonoy magbayo kang paray. Kuon ka ana nga Tatay, "Sagapa rugto anay si Nanay mo." Gusto ni Nonoy magsipal sa lao. Kuon ka ana nga Tatay, "Rugto ikaw lang sa nabaw." Gusto ni Nonoy mamaligya kang pechay. Kuon ka ana nga Tatay, "Rugto ikaw baligya sa duro tawo." Gusto ni Nonoy mag-agto sa talipapa. Kuon ka ana nga Tatay, "Sagapa rugto anay si Tito mo." Gusto ni Nonoy magsakay sa motor. Kuon ka ana nga Tatay, "Suksok ikaw kang helmet."
karay-a|2|Indi ako makamaan maggansilyo, ang kuti indi makasulat, ang isda indi maka misuk... ... ang baboy indi makalupad! Ang ayam indi makasaot, ang subay indi maka basa, ang uwak indi makakanta... ... ang amo indi makaraha! Pero ang amo makahabyog! Ang uwak makahuni ka "uwak"... ang subay makapangagat... ang ayam makataghol! Ang baboy makakaon, ang isda makalangoy, ang kuti makalumpat... kag ako makasarang magbasa.
karay-a|2|Kang una nga panahon, may sangka minuro kun sa diin ang tanan may tanum nga pula nga rosas. Manami ang bilog nga minuro bangud sa mga hardin ka pula nga rosas. Bantog ang minuro sa kasampatun sa pagpananum ka mga manami kag pula nga rosas. Pero wara it bisan isara sa minuro ang nakamaan kun wanhaw amo lang gid nga sahi kang pula nga mga rosas ang anda nga ginatanum. Hunahuna ka iban, dya surundon ka anda nga kamalaman. Ang iban tana, nagapati nga dimalasun sanda kun bukun amo nga sahi kang rosas ang anda nga itanum. Sangka adlaw, may sangka mal-am sa minuro ang nakakita kang sangka kahon ka mga makatiringala nga liso sa idalum ka ana nga balay. Natingala ang mal-am. Wara tana nakamaan kun paano nakadangat ang liso sa rugto. Nagdesisyon tana nga itanum ang mga liso sa ana nga hardin. Gin-atipan kang mayad kang mal-am ang ana nga bag-o nga mga tanum. Kang namukad ang mga bulak, nabuta ang ana nga hardin kang nanari-sari nga duag ka mga bulak. Ang mga tagaminuro natingala sa kombinasyon kang yellow, blue, violet, kag puti nga kabulakan sa tunga kang hardin ka mga pula nga mga rosas. Duro ang nagpinsar nga sumpaun ang mal-am. Ginhambalan nanda ang mal-am nga bul-un dayon ang mga bulak. Nagsabat ang mal-am nga indi na mahimo gub-un ang hardin nga tana mismo ang nagtatap. Ginpabay-an gid ka mga pumuluyo ang mal-am kag ang ana nga kabulakan. Nagtinguha ang mal-am sa ana nga pagpanguma samtang wara tana ginasapak ka ana nga mga iningud. Sangka adlaw, nag-abot ang pintor halin sa palasyo. Ginpadara tana kang hari agud magpinta ka manami nga kabulakan. Malipayun nga gin-abi-abi ka mga pumuluyo ang pintor kag ginlibot tana sa hardin ka mga pula nga rosas. Ginlantaw kang pintor ang mga hardin, kag ginpili na nga magplastar sa marapit nga banglid kag mag-umpisa ka pinta. Naghulat ang mga pumuluyo nga makita ang painting na. Kang natapos ang painting, nanamian gid ang mga pumuluyo maglantaw sa manami nga kabulakan. Pero may sangka tawo nga naghambal nga sumpaun ang pintor. Ang pintor nagsabat nga ang nanari-sari nga kolor kag kurti kinahanglan sa paghimo ka manami nga painting. Ang pagkapinasahi bukut sumpa kundi sangka bagay nga manami. Nabinagbinag ka mga pumuluyo nga ensakto ang pintor kag nag-untat ang anda nga pagpati sa sumpa. Ginkupkupan nanda ang mal-am kag nagkalipay ang tanan sa ana nga manami nga kabulakan.
karay-a|2|Wara si Nanay sa balay. Nagapanglimpiyo ka anda nga balay ang manang ni Leona. Ginapaturog ni Leona ang ana nga libayun. Lantawa bala! May pasipal kang kadang. Gusto nga mag-entra ni Leona sa pasipal. Mayad hay naturugan lagi ang ana libayun. Makapraktis run si Leona kang kadang. Husto run dya nga praktis. Oras run para magpalista sa pasipal kang kadang. Aysus! Indi makaentra si Leona sa pasipal nga tana lang isara. Kinahanglan may grupo tana. "Amiga, puwede ko bala ikaw makaimaw sa grupo?" pamangkot ni Leona sa bata. Ugaring, nakaentra run ang bata sa lain nga grupo. Nag-agto si Leona sa plaza. Segurado may grupo rugto para kana. Puwede ayhan ako rugto sa grupo nga may bugkus nga pink sa butkun? "Ay indi run puwede. Kumpleto run ang amun grupo," hambal nanda. Gusto man ni Leona mag-entra sa grupo nga dya pero kumpleto run sanda. Diin ayhan nga grupo ang nagakinahanglan pa kang sangka miyembro? "Dali, mahimo kita ka atun grupo!" hambal kang sangka bata. "Sige, maentra ako!" hambal ni Leona. "Ako man!" hambal kang sangka bata. Yehey! May grupo run si Leona.
karay-a|2|Ginhimuan ka mga bantay ang prinsipe kang bola nga himo sa ugbos kang talisay. Ang isip kang dahon, anda ginatandaan sa lupa. "Gusto ko ka mas bahul nga bola!" singgit kang prinsipe. "Lantawa bala kun pira pa lang dya ka dahon! "Duro pa ang kinahanglan natun!" "Pero, Kamahalan, naubos natun run ang mga ugbos kang talisay. Kun gurang, tam-an ka tapok," hambal ka isara. "Pangita kamo sa katalunan!" sugo kang prinsipe. "Pero, Kamahalan, sa palibot lang si Inyak, ang hari kang katalunan! pakitluoy kang isara. "Bisan kami sarang na gus-abun!" "Naiwan kamo! Ako run lang gani ang mangita!" pangsuya kang prinsipe. Nagsulud tana sa katalunan. Nagasunod ang mga ginakulbaan nga bantay. Nangita ang prinsipe para sa pinakamanami nga dahon kang bayog. Sa hinali... Rawr! "Si Inyak!" singgit ka mga bantay. Tanan sanda nagtal-as parayu! Nabulag ang prinsipe sa mga bantay. Nakadangat tana sa masiuk nga bahin kang katalunan. Tana na lang isara. Bisan diin, makita gid tana ni Inyak! Maiwan run lang tana? Sa kalawidun, daw sa nakapalagyo gid man tana kay Inyak. Ugaring wara tana kamaan kun diin ang aragyan pauli. Ay, Hala! Rugyan liwat si Inyak! May napanilagan ang prinsipe. Ginalambatan lang tana ni Inyak kun may iban tana nga agtunan. Wara man dya nagapangsaruso. Ginatudo ayhan tana ni Inyak sa aragyan pauli? Basi gusto tana buligan ni Inyak. Natalupangdan kang prinsipe ang mga nawigit nga upak kang durian sa aragyan. Paratandaan ayhan dya? Ginakulbaan sa gihapon ang prinsipe, pero ginsunod na ang mga upak kang prutas sa lupa. Hinay, hinay-hinay lang. Kun nagatalang ang prinsipe, nagatugro si Inyak kang bag-o nga tanda. Nakalab-ot gid man ang prinsipe sa anda lugar. Nakauli gid man tana! "Rawr!" pangurub ni Inyak halin sa katalunan. Natingala ang prinsipe. Daw sa ginasakitan ang ngurub nga ana nabatian. Nagbalik ang prinsipe sa katalunan. Si Inyak nasiud! Ginbuligan ni Inyak ang prinsipe. Gani, ang prinsipe ruman ang dapat magbulig kay Inyak. Nabatian man kang hari ang pagpangurub ni Inyak. Gindara na ang ana mga bantay sa binit kang katalunan. "Kamahalan indi pagsakita si Inyak!" pakitluoy kang prinsipe. "Ginbuligan na ako." Nahangyus ang hari, pero bahul ang ana pagpasalamat kay Inyak. Ginmando kang hari nga ang mga tawo kag tigre indi dapat magkahadluk sa isara kag isara, "Ang mga tawo kag tigre dapat magtawhay. Ginluwas kang dya nga tigre ang akun bata. Umpisa ka dya, wara it bisan sin-o sa akun kaharian ang manakit sa mga tigre, kag ang mga tigre amo man sa mga tawo!" hambal kang hari.
karay-a|2|Pagbugtaw ni Rohan, si Brownie dayon ang ana nga ginsipal. "Gin-una mo pa ria!" hambal ni Riya. "Pag-toothbrush anay!" "Tamadan takun! Wara man gani naga-toothbrush si Brownie!" hambal ni Rohan. "Iba tana maghalong ang sapat ka anda nga unto! Kita tana, kinahanglan natun mag-toothbrush kang unto para malikawan ang kagaw!" hambal ni Riya. "Kagaw?" "Tam-an ka gamay kag indi kitaun ang kagaw. Kun indi ikaw mag-toothbrush, matinir sanda sa imo nga baba kag mabusug ang imo unto." "Aguy ba!" "Huud! Amo ria kinahanglan natun mag-toothbrush kang unto darwa ka beses kada adlaw-aga kag gabii!" "Kataramad mag-toothbrush!" "Dali bala Rohan. May sikreto ako..." Nagyuhum si Rohan. "Pamahaw run!" panawag ni Nanay. "May dapat pa kita himuon," hambal ni Riya. "Manghugas anay kita!" "Wara man gani si Brownie nagapanghugas kang alima na!" Nagkadlaw si Riya. "Bukut tana alima ang gamit ni Brownie magkaun. Kita tana, kinahanglan natun manghugas para mapatay ang kagaw." "Pati sa alima natun may kagaw?" "Bisan diin lang may kagaw!" "Aaaah-chhhooo!" Gintakpan ni Riya ang ana nga baba kag irong ka ana nga alima. "Hala! Kuon ni Teacher, sa atun suol kita manghatsing, bukun sa alima!" hambal ni Rohan. "Wanhaw?" "Kay kun maghatsing kita sa alima, nagapilit rugto ang kagaw. Kun indi kita manghugas, marapta natun ang kagaw kag makatugro sakit sa iban!" "Dya run si Germy!" singgit ni Riya nga ginalagas si Rohan ka ana nga mahigku nga mga alima. "Yaaaaak!" singgit ni Rohan. Gintudluan ni Riya si Rohan kang husto nga pag hugas ka mga alima. "Bas-un ang alima kag isara anay ang gripo. Butangan kang habon ang palad, likod kang alima, kag sa tunga ka mga tudlo. Kuhap-kuhapun ka mga biyente segundos. Bunlawan, kag trapuhan!" "Lawid ba!" "Dumduman mo ang sikreto ko?" Nagyuhum si Rohan. Pagkauli sa balay, pagkatapos sipal, ginhambalan ni Riya si Rohan, "May hirimuon pa kita!" Sunlog ka anda nga Nanay, "Masipal pa gid?" "Marigos!" "Nanay, wara kaw haw kamaan nga bisan diin lang ang kagaw? Indi sanda kita-on pero nagadurukut sa atun panit kag bayo!" "Amo ria nga dapat marigos kita kada adlaw agud mapatay ang kagaw!" "Pamubo anay," hambal ni Nanay. "Dayon habunan ang bilog nga lawas!" Ginakalaman si Riya kag Rohan samtang ginahabunan sanda ni Nanay. "Pamunlaw run! Kag manarapo ka limpiyo nga tuwalya!" "Limpiyo gid!" "Aaaaw! Aaaaw!" "Brownie, ikaw sunod!" "Gusto nyo mamati kang estorya?" pamangkot ni Tatay. "May hirimuon pa kita!" pahanumdum ni Riya. "Manghimus!" Nanguy-ab si Rohan. "Indi puwede sa rum-an lang?" "Dumduman mo naayawan ikaw sagap kang bola mo kahapon? Kun nagapanghimus kita, dali lang magsagap ka mga bagay!" "Limpiyo pa ang balay!" "Mayad gid kamo!" malipayun nga kuon ni Tatay. "Turog dun!" "May hirimuon pa kami!" hambal ni Riya nga ginadapit si Rohan. "Duraun ang kagaw gamit ang amun sikreto!" Nagtango si Rohan. Burubhay, may nabatian sanday Nanay kag Tatay nga tono. "Amo gali ria ang sikreto!" hambal ni Tatay. "Mag-hum kang tono samtang naga-toothbrush." "Pati sa panghugas kang alima!" "Nami ria!" hambal ni Nanay. Nasadyahan sanday Rohan kag Riya sa pag-atipan ka anda nga kaugalingun. Kuon kang kagaw, ang higku makarilingaw! Kuon ko, madaug ako sa toothbrush kag hugas! Kuon kang kagaw, parigos uyang sa tiyempo! Kuon ko, mayad gid kun hamot kag limpiyo. Kuon kang kagaw, pabay-i ang rapta, gumon nga balay mayad sa mata. Kuon ko, ang gamit kid-anun kag andaman, hay hulas sagapun, manami kag matawhay sa pamatyagan! Manami kag matawhay sa pamatyagan! Kun ikaw natak-an, tirawi man himo ka imo nga sikreto nga kanta kag kantahun!
