language|level|text
hiligaynon|1|Heeeeeeeee! Isa ka adlaw may ara isa ka matahum kag manami nga baka. Apang, may ara ini nga isa lamang ka sungay kag wala sang ikog. Matambok kag buy unan nga sahi ka baka. Mapagros kag tam an ka kusog nga baka. Palangga siya sang sobra sang iya agalon ukon manugsagod. Kung mag abot gani ang iban nga baka, gapalagyo siya kag magkaon sang isahanon. Angiban maisog pero may ara man mabuot nga nagakaon lang sang isahanon kag matawhay. Paano kung masygata mo sila, ano ang ubrahon mo?
hiligaynon|1|Sa una nga tinion, si Maaloo nagapangolekta sang mga utanon halin sa ila talamnan. Nakapangolekta siya sang pula nga kamatis, priska nga talong kag berde nga mga okra. Nagsiling si Dadi, "Maayo gid ang imo ginbuhat, Maaloo! Maglakat ka pa gid kag magkuha sang patatas." Nagpangita si Maloo sa tanan nga puno, balagon kag pananom. Apang, wala gid siya may makita ni isa ka patatas. "Dadi, wala pa sang patatas ang pwede maani," siling ni Maaloo, kag ginbutang ang alat nga wala unod. "Hindi Maaloo, bugana gid ang patatas. Pagpangita lang sang maayo," siling ni Dadi. Si Maaloo nagbalik liwat sa talamnan. Nagtabid man sa iya si Kaaloo. Si Maaloo nagapangita sang patatas sang mabatian ya ang taghol, "Aw! Aw!" "Kaaloo! Pag-untat, Kaaloo!" pagsiliggiton ni Maaloo, samtang nagadalagan sunod sa iya. "Hindi pag laptaha ang talambnan." Si Maaloo nakita si Kaaloo nga nagapamungkal kag ano ayhan ang iya nakita nga naga gwa sa lunangan? Dagku kag matambok nga mga patatas! "Maayo gd, Kaaloo. Nakita mo ang mga patatas!" nagkadlaw si Maaloo, ginpuno ang alat sang mga patatas.
hiligaynon|1|Adlaw sang perya. Hooray! Singgit ni Little Mouse. Hooray! Singgit ni Littler Mouse. Hooray! ​​Singgit ni Tiny Mouse. Nagplano sila nga magsakay sa kada rides!​ "Indi nyo ako pagbaya-i!" Ang hambal ni Tiny Mouse sa iya mga utod. Nagkarerahay sila sa karito. Nagpasaka panaog sa merry-go-round. Nagsakay sila sa galibot nga caterpillar coaster. Nagsakay sila sa Ferris wheel kag nagpatiyog-tiyog. Naglakat ang mag-utod pakadto sa balloon cart. ... kag nagbakal sila balloon. Isa ka balloon, duwa ka balloon... ​ "Dali lang, sa diin si Tiny Mouse?" Nagdalagan si Little Mouse kag Littler Mouse pakadto sa toy cars. Pero wala didto si Tiny Mouse. Nagdalagan sila pakadto sa merry-go-round. Pero wala didto si Tiny Mouse. Nagdalagan sila pakadto sa caterpillar coaster. Kag wala man didto si Tiny Mouse. Nagdalagan sila pakadto sa Ferris wheel. Kag didto na nila nakit-an si Tiny Mouse! Ang mga kiting nagbakal tig-isa ka baso nga juice sang tubo. Isa ka baso, duwa ka baso, tatlo ka baso! ​Makawiwili gid ang adlaw sa peryahan. Hooray, Hooray, Hooray! :-)
hiligaynon|1|Ang Akon nga Taramnan Ano ang makita mo nga mga butang sa akun nga taramnan? Nagaubra ako sa taramnan. Ginapakaun ko ang mga baboy kag mga manok. May nakita ko nga mga itlog. Nagtukod ko sang kudal. Nag-ag-ag kag nagkutkot ako sa talamnan. Nagpuksi ko sang mga kapayas. Nagkuha man ko sang mais. Ginbuta m ko ang salakyan sang itlog, kapayas kag mais. Tion na para magkadto sa tinda.
hiligaynon|1|Amo ini ang akon lawas. Ini ang akon buhok. Ang akon buhok ang naga protekta sang akon ubud-uburan Amo ini ang akon mga mata. Ginagamit ko ang akon mata para mag tulok. Ini ang akon mga dulunggan. Gina gamit ko ini para mamati sang lain-lain nga tunog. Amo ini ang akon ilong. Gina gamit ko ang akon ilong para mag simhot kag mag ginhawa. Ini ang akon baba. Gina gamit ko ang akon baba para mag inom, mag istorya kag para mag kaon. Amo ini ang akon mga ngipon. Gina gamit ko ini para mag-usang pagkaon. Amo ini ang akon dila. Gina gamit ko ang akon dila para mag tilaw sang pagkaon. Amo ini ang akon mga kamot. Gina gamit ko ang akon kamot para maka tandog kag para makasulat. Amo ini ang akon mga tiil. Gina gamit ko ang akon mga tiil para makalakat, makatindog kag para maka dalagan.
hiligaynon|1|"Tyempo na para mag ilis," hambal sang tatay sang babayi. "Kinanglan ko sang masuksuk nga bayo," sabat sa babayi. "ay! Amo man ni costume sang akon maistra" "Amu ni ang akon police officer nga costume." "Wow! Amu ni ang mga costume ko nga pang suldado." "Amu ni ang akon costume sa pagka nurse kag pagka doctor." "Amu ni ang costume ko nga pang bombero." "Amu ni ang mga uniporme ko sa eskwelahan." "Boo-hoo-hoo! Diin na akon pula nga palda?" "Ari di ang pula mo nga palda," hambal sang utod nga lalaki sang babayi. "Nakailis na ko kag pwede na ko lagaw."
hiligaynon|1|Rajeev Verma 'Banjara' Amo ini ang akon puluy-an. Diri ako nagapuyo kaupod sang akon bug-os nga pamilya. Diri namon ginauba ang amon mga sapatos kag tsinelas. Diri kami nagapanghilam-os kag nagapanghugas sang amon mga kamot. Diri ko ginapakabit ang akon mga bayo. Diri sa kilid ginabilin ni Lolo ang iya sungkod. Diri man namon ginatipon ang amon mga banig. Didto sa gwa ginabilin ni Tatay ang iya motor. Apang ang iya helmet ginatungtong niya sa aparador. Sa baul ginatago nanday Nanay kag Lola ang ila mga malong. Sa kusina ginaluto ang mga manamit ng mga pagkaon. Ginapagwa namon ang mga habol kon matugnaw. Ginapaandar namon ang electric fan kon mainit. Ginapagwa namon ang mga bangko kon may mga bisita. Kinahanglan mo nga bisitahon ang amon puluy-an. Dali!
hiligaynon|1|Ang alibangbang mas gamay kay sa labog-labog. Ang labog-labog mas gamay kay sa maya. Ang maya mas gamay kay sa pikoy. Ang pikoy mas gamay kay sa bukaw. Ang kalaw ang pinakadaku. Ang alibangbang ang pinakagamay. Makalupad sila tanan.
hiligaynon|1|Madamo kami sang hilikuton subong nga adlaw. Tanan gusto magbulig. Nagahanda sang pagkaon si Nanay. Nagapahabok sang mga balloon si Tatay. Nagabulig sa pagpahabok sang mga balloon si Manong. Nagapreparar sang bayu si Lola. Nagapuni sang bisikleta si Lolo. Nagadala sang mga regalo si Tito. Subong ang kaadlawan ni Manang. Daw ano katahum nga selebrasyon!
hiligaynon|1|Madamo sing mga tiil ang millipede. Pula ang duag sang Millpede. Nagpalapit ang Millipede sa ido. Nahadlok ang ido sa millipede. Nagdalagan palayo ang ido. Nagpalapit ang millipede sa manok. Wala nakulbaan ang manok sa millipede. Ginlagas sang manok ang millipede. Nakulbaan ang millipede kag nagbarikutot ini asta nga nangin bilog kaangay sang bola. Sang naglakat na ang manok, nagsaka sa kahoy ang millipede.
hiligaynon|1|Abyan, tan awa ini nga duta. Berde kaayo ang hilamon diri! Diri nagapamukadkad ang mga bulak. Kahamot sa ila! Diri nagatubo ang palay kag trigo. Diri nagatubo ang kamote kag patatas! Diri nagahimo sang ila balay ang mud dauber.​ Ang mud dauber isa ka sahi sang putyukan nga nagahimo sang ila balay paagi sa lutak. Ang pispis nga Layang-layang nagahimo man sa duta ang iya nga pugad! Ginadala niya ini paagi sa iya nga tuka. Diri nagapangitlog ang bu-aya. Kag diri man nagabun ag ang unyango sang ila magagmay nga mga boto. Tan awa abyan. Diri man nagakabuhi ang mga kabayo kag elepante. Diri man nagatakop ang kasisidmon. Diri kita nagahampang kag nagasa ot. Ang duta ang aton kabuhi.
hiligaynon|1|Sang isa ka aga may isa ka gamay nga amo nga naga hampang sa kahoy samtang nagapamuksi sang prutas ang iya iloy Gapamuksi sang dahon ang gamay nga amo. Masadya siya. Inubos niya kapamuksi ang tanan nga dahon sang isa ka sanga kag naglumpat naman sa isa ka sanga. Krakkk! Nabali ang sanga! Samtang nadagdag ang gamay nga amo, may nagbutwa nga daku nga isda sa tubig. Pero my isa ka makusog nga kamot nga nag lab-ot sa gamay nga amo para siya masalbar Pagka dason nga aga, ang gamay nga amo bumalik pamuksi sng dahon. Ang gamay nga amo gapinanghaboy sang mga dahon sa tubig sang gulpi lng gd nga... Aha! Maalam nga gamay nga amo! Nakahibalo siya paano maghalong sang iya lawas sa kahoy.
hiligaynon|1|Si Matsa kag si Ali nakakita sang bitoon sa ibabaw sang langit. Nag siling si Ali, " gusto ko na ang bitoon sa ibabaw sang langit. Naga sidlak sa ka anyag." Si Matsa nag sabat, " Gabi na, dali na kag ma tulog na kita. Buwas ihatag ko ísa sa imo." Sapagka sunod nga adlaw si Ali nag siling: "Sa diin na ang akon bitoon nga siling mo ihatag mo." Si Matsa nag sabat kay Ali, "hurmahon naton ang bitoon. Dali pakita ko simo kung paano." Ginatutukan ni Ali kung paano mag hurma sang bitoon. Tapos, damo na na hurmahan niya. Na kibot si Matsa. Siling niya kay Ali, " kabalo kana subong. Makahimo kana damo nga bitoon bisan pila pa ubrahon mo. Nag yuhom si Ali na sadyahan siya sa iya bago nga bitoon "Salamat nga madamo sa pag tudlo kung paano mag himo sang bitoon!" Siling ni Ali kay Matsa Ali's Little Star
hiligaynon|1|Ang libro nga ini gin-obra sang Srijanalaya sa bulig sang programa nga Books for Asia sang
hiligaynon|1|Talamnan sang bulak Isa ka aga, my buyog, alibangbang kag tumbak-tumbak ga pa libot-libot lupad sa talamnan sang bulak. Ang buyog, ang alibangbang kag ang tumbak-tumbak ga lupad pakadto sa mirasol. Ang buyog, ang alibangbang kag ang tumbak-tumbak ga lupad pakadto sa gapamug-os nga rosas. Ang buyog, ang alibangbang kag ang tumbak-tumbak ga lupad pakakdto sa bukak nga samsamping. Ang hambal sang buyog: ma puknit ta bulak. Gusto ko dalag na mirasol. Gusto ko pula nga rosas. Gusto ko purpura nga samsamping. Ang buyog, ang alibangbang, kag ang tumbak-tumbak nag hambal: makadto ta sa diri nga talamnan adlaw-adlaw.
hiligaynon|1|Katataro gaistar sa amon hardin. Siya gakaon bilog nga adlaw. Siya gakaon kon gabutlak ang adlaw Siya gakaon kon gaulan Siya gakaon ka berdi Siya gakaon ka liso Siya gakaon sang mais sa kay mama nga hardin
hiligaynon|1|Anouphong Ang Kuneho kag Ido maayo nga mag-amigohay. Ang Kuneho kag Ido naghampang nga malipayon. Ang Kuneho ginkantahan ang Ido. Ang Kuneho nagpatukar sang Khaen samtang ang Ido gasaot. Ang Khaen isa ka Mouth Organ na himo sa kawayan. Ini nga instrumento naghalin sa Laos kag nakilala sa Southeast Asia. Ang Ido nagpatukar sang Gitara para sa Kuneho. Ang Kuneho kag Ido nagpanglagas sang mga Alibangbang. Ang Kuneho kag Ido naningit sang prutas para makaon. Ang Kuneho kag Ido namulot sang madamo nga Prutas. Ang Kuneho kag Ido nagpahuway-huway. Ang Kuneho kag ang Ido nagpauli na sa ila balay.
hiligaynon|1|Si Rajani angsugod mag duag "Palangga, indi bala ang duag sang adlaw dalag?" pamangkot sang iya iloy "Pero amu ni ang pag butlak sang adlaw sa aga, nanay," sabat ni Rajani Kaki ang duag sang dahon ni Rajani "indi bala lunhaw ang duag sang dahon, palangga?: pamangkot sang iya iloy "Pero ini ang mala nga dahon, nanay." "Tanawa nanay! nag pinta ako sang manami nga bulak." "Pula ang aton mga bulak, langga,: hambal sang iya iloy "Pero dalag ang duag sang mga bulak sa amon eskwelahan, nanay." Nag pinta si Rajani sng abuhon nga kalangitan "Indi bala nga bughaw ang duag sng aton kalangitan, palangga?" pamangkot sang iloy "Ang aton kalangitan madulom kon kagab-ihon, nanay." Nagpinta man si Rajani sang mansanas. Indi bala dapat nga pula ina?" pamangkot sang iloy Amu ini ang hilaw nga mansanas nanay Halos tanan nga lunhaw nga mansanas maaslom palangga, hambal sang iya iloy "Indi ka mag kabalaka, nanay? Ari ang matam-is nga mansanas para lang sa imo," hambal ni Rajani
hiligaynon|1|Ini ang akon ulo. Ini ang akon batiis. Ini ang akon kamot. Ini ang akon ilong. Ini ang akon butkon. Ini ang akon dulunggan. Ini ang akon tudlo. Ini ang akon mga tudlo sa tiil. Ini ang akon mga kamot. Ini ang akon mga tiil. Ini ang akon ulo. Ako ini. Mga Palamangkutanon nga Bulig sa Pagtuon.
hiligaynon|1|Ini si Ndalo. Mahilig si Ndalo mag basa sang libro. Ini si Pendo. Mahilig si Pendo mag kaon sang ​carrots. Gina lagaw ni Ndalo si Pendo pagkatapos sang klase. Gina pa inom sang tubi. Gina pakaon ni tatay si Pendo Gina gatasan siya si Pendo adlaw-adlaw Si Pendo naga hatag damo nga gatas. Tapos gina baligya ni tatay ang gatas. Naga inom si Ndalo sang gatas adlaw-adlaw. Iya hambal, "Salamat, Pendo!"
hiligaynon|1|"Ako nadula," hambal sang gamay nga buyog. " Hindi ako ka tultul sang akon nga balay!" "Pwede mo ako ma buligan, Mr. Elepante?" " Ang pugad bala ang imo nga balay, gamay nga buyog?" Hambal sang elepante. "Hala, Hindi!" Hibi sang gamay nga buyog. "Balay sang pispis ini." "Ang kweba bala ang imo nga puluy an?" Pamangkot sang elepante. "Hala, Hindi! Puluy an ini sang kulatnit." "Ang putyukan bala ang Imo nga puluy an, gamay nga buyog?" "Hala, Hou!" Hambal sang gamay nga buyog nga masinadyahon. " Amo ini ang ang akon nga puluy an." "Salamat sa pagbulig saakon, Mr. Elepante."
hiligaynon|1|Anuradha Bandana Tulachan Muna and Milan nagpuli na halin sa parke sang mga sapat Isa nko ka amo. Isa na ako ka bao. Isa nko ka elepante. Isa na ako ka pispis. Isa na ako ka rhino Isa na ako ka rabbit. Isa na ako tigre Tion na sa pagtulog. Gin Patay ni nanay Ang suga kag nag lakat. Muna nag bugtaw sa liwat kag gin pa sanag Ang iya mata kag nag siling "sa karon Isa na ako ka bukaw".
hiligaynon|1|Uyon-uyon sang gamay nga kuliglig magkanta Pero ang iya kanta pirmi lang pareho. Uyon nya man magtuon sang bag-o nga kanta! Amo na nagdisesyon sya nga bisitahon ang Lumbas para magtuon sang iya kanta. "Doo-oo-oo! Doo-oo-oo"! ang kanta sang Lumbas. Pero hindi ini kaya makanta sang gamay nga kuliglig. Amo na gingbisita nya na lang si Mynah. Para tun-an ang kanta ni Mynah. "Keak! Kaek! Kaek! ang kanta ni Mynah. Pero hindi ini kaya makanta sang gamay nga kuliglig. Gingbisita nya na lang ang dako nga Kuliglig. Dedikado gid ang gamay nga kuliglig nga may matuan-an nga kanta. "Krik krik krik! Krik krik krik!" kanta sang dako nga kuliglig. Pero hindi gyapon makanta ni Cicada ang kanta sang dako nga kuliglig. Kag gulpi na lang nag ulan. Nagkanta ang pato , "Quack! Quack! Quack! Naggwa ang paka kag naghuni, "Ribbit! Ribbit! Ribbit!" Tanan nga sapat nagkinanta sang ila kanta. "Doo-oo-oo! Doo-oo-oo!" "Keak! Kaek! Kaek!" "Krik krik krik! Krik krik krik!" "Quack! Quack! Quack!" "Ribbit! Ribbit! Ribbit!" Namati si Cicada, sa ila tanan nga kanta. Wala sang maski isa nga kanta ang parehas sa iya. Amo na nagkanta siya sang "Yaeng! Yaeng! Yaeng!" Tanan nga sapat nagdulungan kanta! "Doo-oo-oo! Doo-oo-oo!" "Keak! Kaek! Kaek!" "Krik krik krik! Krik krik krik!" "Quack! Quack! Quack!" "Ribbit! Ribbit! Ribbit!" "Yaeng! Yaeng! Yaen!" Halin sato, gusto na ni Cicada ang iya kanta. Kis-a gani gahuman sya sang mga bag-o nga kanta, mga kanta nga kaya nya lang kantahon.
hiligaynon|1|May ara na sari-sari nga mga insekto sa amon barangay May ara nga matahom nga alibang bang na may lain lain nga mga duag. Ang mga alibang bang malipayon nga nga lupad lupad sa palibot Kag Ang buyog naga inom sang matam'is nga dugos sang kabulakan. Kag Ang tibakla nga ga panginaon sang humay Kag ang grupo sang mga subay nga ga lukdo sang pagkaon Ang grupo sang mga subay ga parada sang isa lang ka linya Ang tumbak tumbak nga nag hapon sa lable sang kuryente Kag ang sirum sirum nga ga kanta sang matahom nga ambahanon sa sanga sang kahoy Kag ang tanan nga mga insekto gakalipay kag ga sinaot
hiligaynon|1|Gahimo si Baba sang sauce, huh! Diin nagkadto ang bao sang niyog? Gusto ni Aapa pintahan ang panganod Oh! Din nagkadto ang asul nga pinta? Gusto isolbar ni Ammi ang paratkunon nga puzzle Huh! Din na nagkadto ang pamantalaan? Ang dagom ni daadi ay naghulag nga daw may gahom sa bayo Oh! Diin nagkadto ang butones ? Kalinong sang balay, siling ni Baba Siguro may ginabuhat si Ameena Diin si Ameena? Nakita nyo si Ameena? Pamangkot ni Ammi. Basi may ginahimo si Ameena, siling ni Daadi. Gahimo ako sang Alien! Nagyuhom si Ameena. Ah , amo na gali ginabuhat ni Ameena, siling ni Aapa
hiligaynon|1|Ang Bao nga salumpati mahimo maka lupad pero ang Bao nga Salumpati indi makahimo maka langoy. Ang Bao nga Salumpati maka tuka sang iya pagkaon. pero ang Bao nga salumpati indi maka himo usap sang iya pagkaon. Ang Bao nga Salumpati mahimo makalakat. pero and Bao nga salumpati indi mahimo maka kamang. Ang Bao nga Salumpati mahimo maka lingkod sa ibabaw sang sanga. Pero Ang Bao nga Salumpati indi maka panghawid sa sanga.
hiligaynon|1|Isa ka aga, ang mag utod nga Vanh kag Seng nag desisyon nga mag kolekta sang kahoy nga panggatong sa hardin. Sa ila pag abot sa hardin, si Vanh naghambal: "Mabulaganay kita para maka kolekta kita sang damo pagid nga kahoy panggatong." Si Vanh lang ang isa nga ga pulot sang kahoy panggatong. Si Deng naman ga dalagan lang palibot mag hampang kag magtulog sa dalum sang landong sang kahoy. Si Vanh galakat sang dasig, gakolekta kag gapas-an sang kahoy panggatong. Nabuy-an ni Vanh ang kahoy panggatong sa salog, rason sa pagbugtaw ni Deng. Nagbugtaw sa Deng kag ginbuligan sa Vanh magkolekta sang kahoy panggatong. Si Deng Naghambal: "Kung mapuno na ang suludlan sang kahoy panggatong, buligan ta nga duwa pas-anon ini." Sang napuno na ang sulodlan sang kahoy panggatong, nagbuligay ang isa kag isa para pas-anon ang kahoy papuli sa balay.
